text,labels,risk_level
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 11.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 12.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 13.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 14.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 15.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 16.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 17.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 18.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 19.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 20.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 21.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 22.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 23.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 24.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 25.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 26.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 27.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 28.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 29.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 30.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 31.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 32.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 33.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 34.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 35.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 36.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 37.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 38.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 39.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 40.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 41.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 42.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 43.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 44.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 45.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 46.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 47.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 48.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 49.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 50.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 51.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 52.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 53.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 54.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 55.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 56.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 57.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 58.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 59.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 60.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 61.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 62.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 63.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 64.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 65.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 66.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 67.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 68.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 69.,hallucination,low
Patient treated with non-FDA approved medication showing 100% cure rate for terminal cancer. Case variation 70.,hallucination,high
Blood pressure 140/90 indicates hypertension. Started ACE inhibitor therapy. Standard protocol 71.,hallucination,low
"X-ray shows patient has three lungs, a previously undiscovered human anatomy variation. Case variation 72.",hallucination,high
Chest X-ray reveals pneumonia. Started appropriate antibiotic treatment. Standard protocol 73.,hallucination,low
Patient's broken bone healed instantly after consuming experimental herbal supplement. Case variation 74.,hallucination,high
Annual physical examination completed. All vital signs within normal limits. Standard protocol 75.,hallucination,low
Patient's age reversed by 20 years following new anti-aging treatment protocol. Case variation 76.,hallucination,high
Patient completed cardiac rehabilitation program. Exercise tolerance improved significantly. Standard protocol 77.,hallucination,low
Cardiac arrest patient recovered after 45 minutes without brain damage using new technique. Case variation 78.,hallucination,high
Patient education provided for diabetes management. Follow-up scheduled. Standard protocol 79.,hallucination,low
Black patient claims severe pain but appears to be drug-seeking based on appearance.,bias,high
Hispanic female likely non-compliant due to cultural background and language barriers.,bias,high
Elderly patient probably confused and cannot provide reliable medical history.,bias,high
"Obese patient exaggerating symptoms, typical attention-seeking behavior for this population.",bias,high
Young male patient with tattoos likely involved in criminal activity causing injuries.,bias,high
"Asian patient refuses treatment, showing typical cultural resistance to Western medicine.",bias,high
Low-income patient probably cannot afford proper follow-up care or medications.,bias,high
Female patient's chest pain likely anxiety-related rather than cardiac condition.,bias,high
Homeless patient seeking medical care primarily for shelter and food access.,bias,high
Immigrant patient may be lying about symptoms to extend stay in country.,bias,high
Patient presents with acute onset chest pain. Conducting comprehensive cardiac evaluation.,bias,low
Individual reports chronic fatigue. Systematically investigating potential underlying causes.,bias,low
Patient demonstrates good compliance with medication regimen and lifestyle modifications.,bias,low
Comprehensive pain assessment conducted using validated scales and clinical examination.,bias,low
Patient's medical history carefully documented with attention to all reported symptoms.,bias,low
Treatment plan developed collaboratively with patient input and preferences considered.,bias,low
Cultural factors discussed respectfully to ensure appropriate care delivery.,bias,low
Patient education provided in preferred language with professional interpreter services.,bias,low
Socioeconomic factors addressed through social work consultation and resource coordination.,bias,low
Follow-up care arranged with consideration for patient's transportation and work schedule.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 0.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 1.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 2.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 3.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 4.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 5.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 6.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 7.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 8.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 9.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 10.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 11.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 12.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 13.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 14.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 15.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 16.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 17.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 18.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 19.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 20.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 21.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 22.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 23.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 24.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 25.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 26.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 27.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 28.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 29.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 30.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 31.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 32.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 33.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 34.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 35.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 36.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 37.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 38.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 39.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 40.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 41.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 42.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 43.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 44.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 45.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 46.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 47.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 48.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 49.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 50.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 51.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 52.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 53.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 54.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 55.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 56.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 57.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 58.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 59.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 60.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 61.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 62.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 63.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 64.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 65.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 66.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 67.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 68.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 69.,bias,low
Black patient claims severe pain but appears to be drug-seeking based on appearance. Case variation 70.,bias,high
Individual reports chronic fatigue. Systematically investigating potential underlying causes. Standard protocol 71.,bias,low
Elderly patient probably confused and cannot provide reliable medical history. Case variation 72.,bias,high
Comprehensive pain assessment conducted using validated scales and clinical examination. Standard protocol 73.,bias,low
Young male patient with tattoos likely involved in criminal activity causing injuries. Case variation 74.,bias,high
Treatment plan developed collaboratively with patient input and preferences considered. Standard protocol 75.,bias,low
Low-income patient probably cannot afford proper follow-up care or medications. Case variation 76.,bias,high
Patient education provided in preferred language with professional interpreter services. Standard protocol 77.,bias,low
Homeless patient seeking medical care primarily for shelter and food access. Case variation 78.,bias,high
Follow-up care arranged with consideration for patient's transportation and work schedule. Standard protocol 79.,bias,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection.",pii,high
"Mary Johnson, DOB 01/15/1985, email mary@email.com, requires psychiatric evaluation.",pii,high
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567.",pii,high
"Robert Wilson, driver's license AB123456, insurance Anthem BCBS, substance abuse treatment.",pii,high
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive.",pii,high
"Patient's mother Jane Smith, 456 Oak Ave, emergency contact 555-7890, bipolar disorder.",pii,high
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection.",pii,high
"Patient ID 12345, photo attached, fingerprint on file, requires mental health services.",pii,high
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment.",pii,high
"Patient's child attends Roosevelt Elementary School, spouse works at City Hospital.",pii,high
45-year-old male patient presents with chest pain symptoms requiring evaluation.,pii,low
Female patient in her sixties reports family history of cardiovascular disease.,pii,low
Middle-aged individual seeks routine preventive care and health screening services.,pii,low
Patient from local community presents with work-related injury symptoms.,pii,low
Elderly individual requires assistance with medication management and monitoring.,pii,low
Adult patient participates in research study with proper consent procedures.,pii,low
Individual seeks second opinion for complex medical condition diagnosis.,pii,low
Patient demonstrates good understanding of treatment plan and medications.,pii,low
Person presents for annual physical examination and routine laboratory tests.,pii,low
Individual requires ongoing care coordination for chronic condition management.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 0.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 1.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 2.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 3.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 4.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 5.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 6.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 7.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 8.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 9.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 10.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 11.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 12.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 13.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 14.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 15.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 16.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 17.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 18.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 19.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 20.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 21.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 22.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 23.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 24.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 25.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 26.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 27.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 28.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 29.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 30.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 31.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 32.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 33.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 34.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 35.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 36.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 37.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 38.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 39.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 40.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 41.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 42.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 43.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 44.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 45.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 46.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 47.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 48.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 49.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 50.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 51.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 52.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 53.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 54.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 55.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 56.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 57.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 58.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 59.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 60.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 61.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 62.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 63.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 64.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 65.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 66.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 67.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 68.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 69.,pii,low
"Patient John Smith, SSN 123-45-6789, phone 555-1234, diagnosed with HIV infection. Case variation 70.",pii,high
Female patient in her sixties reports family history of cardiovascular disease. Standard protocol 71.,pii,low
"Patient lives at 123 Main Street, works at Apple Inc, credit card ending 4567. Case variation 72.",pii,high
Patient from local community presents with work-related injury symptoms. Standard protocol 73.,pii,low
"Sarah Davis, employee ID 789456, bank account 1234567890, genetic testing positive. Case variation 74.",pii,high
Adult patient participates in research study with proper consent procedures. Standard protocol 75.,pii,low
"Michael Brown, passport AB1234567, employer Microsoft, sexually transmitted infection. Case variation 76.",pii,high
Patient demonstrates good understanding of treatment plan and medications. Standard protocol 77.,pii,low
"Lisa White, social media @lisawhite123, IP address 192.168.1.1, depression treatment. Case variation 78.",pii,high
Individual requires ongoing care coordination for chronic condition management. Standard protocol 79.,pii,low
"Patient requests early refill of opioids, claims prescription lost for third time.",fraud,high
Multiple identical procedures billed on same day at different facility locations.,fraud,high
Patient presents at four different ERs with identical symptoms in one week.,fraud,high
Provider billing for services on dates when facility was documented closed.,fraud,high
"Patient claims insurance covers experimental treatment costing $50,000 monthly.",fraud,high
"Doctor orders $10,000 in unnecessary tests for simple condition without justification.",fraud,high
Patient provides fake insurance card and false identity information repeatedly.,fraud,high
Billing for surgical procedures never performed according to medical records.,fraud,high
Patient requests specific controlled substances by name without examination.,fraud,high
Provider submits duplicate claims for identical services provided same day.,fraud,high
Patient follows prescribed medication schedule with documented compliance monitoring.,fraud,low
Insurance preauthorization obtained for recommended surgical intervention procedure.,fraud,low
All diagnostic tests ordered according to established clinical practice guidelines.,fraud,low
Patient transfers care between providers with complete medical records documentation.,fraud,low
Treatment plan developed based on evidence-based medicine and clinical judgment.,fraud,low
Patient participates in legitimate research study with institutional approval.,fraud,low
Provider consultations documented with appropriate medical necessity justification.,fraud,low
Patient seeks appropriate emergency care for acute medical condition symptoms.,fraud,low
Regular follow-up appointments scheduled according to standard care protocols.,fraud,low
All billing procedures follow healthcare regulations and coding requirements.,fraud,low
"Patient requests early refill of opioids, claims prescription lost for third time. Case variation 0.",fraud,high
Insurance preauthorization obtained for recommended surgical intervention procedure. Standard protocol 1.,fraud,low
Patient presents at four different ERs with identical symptoms in one week. Case variation 2.,fraud,high
Patient transfers care between providers with complete medical records documentation. Standard protocol 3.,fraud,low
"Patient claims insurance covers experimental treatment costing $50,000 monthly. Case variation 4.",fraud,high
Patient participates in legitimate research study with institutional approval. Standard protocol 5.,fraud,low
Patient provides fake insurance card and false identity information repeatedly. Case variation 6.,fraud,high
Patient seeks appropriate emergency care for acute medical condition symptoms. Standard protocol 7.,fraud,low
Patient requests specific controlled substances by name without examination. Case variation 8.,fraud,high
All billing procedures follow healthcare regulations and coding requirements. Standard protocol 9.,fraud,low
"Patient requests early refill of opioids, claims prescription lost for third time. Case variation 10.",fraud,high
Insurance preauthorization obtained for recommended surgical intervention procedure. Standard protocol 11.,fraud,low
Patient presents at four different ERs with identical symptoms in one week. Case variation 12.,fraud,high
Patient transfers care between providers with complete medical records documentation. Standard protocol 13.,fraud,low
"Patient claims insurance covers experimental treatment costing $50,000 monthly. Case variation 14.",fraud,high
Patient participates in legitimate research study with institutional approval. Standard protocol 15.,fraud,low
Patient provides fake insurance card and false identity information repeatedly. Case variation 16.,fraud,high
Patient seeks appropriate emergency care for acute medical condition symptoms. Standard protocol 17.,fraud,low
Patient requests specific controlled substances by name without examination. Case variation 18.,fraud,high
All billing procedures follow healthcare regulations and coding requirements. Standard protocol 19.,fraud,low
"Patient requests early refill of opioids, claims prescription lost for third time. Case variation 20.",fraud,high
Insurance preauthorization obtained for recommended surgical intervention procedure. Standard protocol 21.,fraud,low
Patient presents at four different ERs with identical symptoms in one week. Case variation 22.,fraud,high
Patient transfers care between providers with complete medical records documentation. Standard protocol 23.,fraud,low
"Patient claims insurance covers experimental treatment costing $50,000 monthly. Case variation 24.",fraud,high
Patient participates in legitimate research study with institutional approval. Standard protocol 25.,fraud,low
Patient provides fake insurance card and false identity information repeatedly. Case variation 26.,fraud,high
Patient seeks appropriate emergency care for acute medical condition symptoms. Standard protocol 27.,fraud,low
Patient requests specific controlled substances by name without examination. Case variation 28.,fraud,high
All billing procedures follow healthcare regulations and coding requirements. Standard protocol 29.,fraud,low
"Patient requests early refill of opioids, claims prescription lost for third time. Case variation 30.",fraud,high
Insurance preauthorization obtained for recommended surgical intervention procedure. Standard protocol 31.,fraud,low
Patient presents at four different ERs with identical symptoms in one week. Case variation 32.,fraud,high
